id,rated,created_at,last_move_at,turns,victory_status,winner,increment_code,white_id,white_rating,black_id,black_rating,moves,opening_eco,opening_name,opening_ply
ECQZchLt,True,1504112820461.0,1504113144881.0,61,resign,white,10+0,erdugliano71,1919,selami011235,1798,d4 f5 Bf4 Nf6 e3 d6 Nc3 Nc6 Bc4 e5 dxe5 dxe5 Qxd8+ Kxd8 O-O-O+ Bd6 Bg5 Ke7 Nd5+ Kf8 Nxf6 gxf6 Bxf6 Rg8 Bxg8 Kxg8 Nf3 Kf7 Bh4 Be6 a3 b5 h3 b4 axb4 Bxb4 Bg3 Bd6 Rd2 a5 Rhd1 f4 exf4 exf4 Bh4 a4 Ng5+ Kf6 Ne4+ Ke5 Nxd6 cxd6 Rxd6 a3 Rxc6 axb2+ Kxb2 Ra2+ Kc3 Ra3+ Kb4,A80,Dutch Defense,2
BqMaxwMW,True,1454940000000.0,1454940000000.0,86,mate,black,10+0,djbaseball46,1195,carlosamadorsanchez,1123,e4 e5 Nf3 f5 d3 fxe4 dxe4 Bb4+ Bd2 Bxd2+ Nbxd2 Nf6 Bb5 c6 Ba4 b5 Bb3 d5 exd5 cxd5 c4 Be6 cxd5 Bxd5 Rc1 Bxb3 axb3 O-O Ng5 Ng4 h3 Qxg5 hxg4 Rd8 Rc7 e4 Nxe4 Rxd1+ Kxd1 Qd5+ Nd2 Qxg2 Rf1 Qxg4+ f3 Qg2 f4 Na6 Rc8+ Rxc8 Ke1 Re8+ Ne4 Rxe4+ Kd1 Qxf1+ Kc2 Qxf4 b4 Nxb4+ Kb3 a6 Ka3 Re3+ b3 Nc2+ Kb2 Qf2 Kc1 Re4 b4 Re1+ Kb2 h6 Kc3 h5 Kd3 h4 Kc3 h3 Kd3 h2 Kc3 h1=Q Kd3 Qh3#,C40,Latvian Gambit,4
cIP5THAR,True,1466630494489.0,1466630672557.0,27,resign,black,10+2,nitche,1867,jaivl,1932,e4 c5 Nf3 g6 d4 cxd4 Nxd4 Nc6 Nxc6 bxc6 Nc3 Bg7 Bd2 d5 Be3 d4 Na4 dxe3 Qxd8+ Kxd8 O-O-O+ Ke8 fxe3 Nf6 e5 Nd5 c4,B34,Sicilian Defense: Accelerated Dragon |  Exchange Variation,9
F4BG9EjO,True,1503159383853.0,1503160124353.0,79,resign,white,10+0,yellow_dragon,1823,silentmove,1770,d4 Nf6 c4 g6 Nc3 Bg7 e4 d6 f3 O-O Be3 e5 d5 c6 Bd3 cxd5 exd5 Nbd7 b4 b5 cxb5 e4 Bc2 exf3 Nxf3 Bb7 Bd4 Re8+ Kf1 Nxd5 Nxd5 Bxd5 Bxg7 Bc4+ Bd3 Bxd3+ Qxd3 Kxg7 Qxd6 Re6 Qd4+ Kg8 Kf2 Rc8 Rac1 Rb8 Rhd1 Qb6 Qxb6 Nxb6 Nd4 Rf6+ Kg3 Nd5 Nc6 Rxb5 a4 Rb6 b5 Ne3 Ne7+ Kg7 Re1 Nf5+ Nxf5+ Rxf5 Re7 a6 Rc6 Rxc6 bxc6 Kf8 Ra7 Ra5 c7 Rc5 Ra8+ Ke7 c8=Q,E88,King's Indian Defense: Saemisch Variation |  Closed Variation |  7...c6,14
lG5mJCIw,True,1504180293826.0,1504180633642.0,37,resign,white,10+0,rhysmc123,1371,gonzorg,1193,e4 e5 d3 Nf6 Bg5 Nc6 Bxf6 gxf6 a3 Qe7 b4 d6 c4 Be6 Nf3 Rg8 g3 O-O-O Qa4 Nd4 Ra2 a6 Nxd4 exd4 Rb2 Bd7 Qa5 Bh6 b5 Kb8 bxa6 Bb5 cxb5 b6 a7+ Kb7 Qa6+,C20,King's Pawn Game: Leonardis Variation,3
X9oTQRm1,True,1504232389266.0,1504233353258.0,52,outoftime,black,10+0,yotastrejos,1415,davo_bul,1431,e4 e5 Nf3 Nc6 Bb5 d6 Bxc6+ bxc6 O-O Nf6 d3 Bg4 Nc3 d5 exd5 cxd5 d4 e4 Re1 Be7 h3 exf3 hxg4 fxg2 g5 Qd7 Qe2 O-O Kxg2 Ne4 Nxe4 dxe4 Qxe4 Rae8 Rh1 g6 Qh4 h5 gxh6 Bxh4 Rxh4 Qd5+ Kf1 Qe6 h7+ Kg7 Bh6+ Kf6 Rf4+ Ke7 Bxf8+ Kd7,C62,Ruy Lopez: Steinitz Defense,6
mCLwBASx,True,1484790000000.0,1484790000000.0,121,resign,white,10+0,bolivonv,1817,dkattir,1839,e4 c5 Nf3 Nc6 Bb5 Nd4 Nxd4 cxd4 O-O a6 Be2 d6 d3 Nf6 Bg5 e5 f4 Be7 f5 Nd7 Bxe7 Qxe7 Nd2 g6 Nc4 b5 Nd2 g5 Bh5 Bb7 Nf3 O-O-O Rc1 Nf6 g4 Nxh5 gxh5 Rdg8 Nd2 g4 f6 Qe6 Rf5 g3 h3 h6 c3 Rg5 Qf3 Rhg8 cxd4+ Kb8 d5 Qe8 Kg2 Bc8 Rxg5 Rxg5 Rc6 Qd7 Nf1 Qxh3+ Kg1 Bg4 Qg2 Qxh5 Nxg3 Qh4 Qh2 Qxh2+ Kxh2 h5 Rxd6 Bc8 Rd8 Kc7 Rh8 Bg4 Rh7 Rg6 Rxf7+ Kb6 d6 Kc6 Nf5 Bxf5 exf5 Rg8 d7 Rd8 Kg3 Rxd7 Rxd7 Kxd7 Kh4 Ke8 Kxh5 Kf7 Kg5 a5 d4 exd4 Kf4 d3 Ke3 d2 Kxd2 Kxf6 Kd3 Kxf5 Kd4 Ke6 Kc5 b4 Kb5 Kd5 Kxa5 Kc4 Ka4 Kc5 b3,B30,Sicilian Defense: Nyezhmetdinov-Rossolimo Attack,5
Iz6xucJK,True,1500430000000.0,1500430000000.0,28,mate,black,20+0,seashark,1152,dude_perfect,1246,e4 c5 d3 e6 Nf3 Nc6 Be3 Nf6 Be2 d5 e5 Nd7 O-O Ndxe5 Nbd2 Nxf3+ Bxf3 Bd6 c4 d4 Bxd4 Nxd4 Qa4+ Bd7 Qd1 Qh4 Ne4 Qxh2#,B20,Sicilian Defense,2
HmkdlQ0w,True,1481680000000.0,1481680000000.0,34,resign,black,5+8,woodham,1216,lions67,1523,e4 e5 Nf3 d6 h3 h6 c3 a6 b4 Nf6 d3 d5 exd5 Nxd5 Nxe5 Qf6 Qe2 Be6 a3 Bd6 d4 Nc6 g3 Nxe5 dxe5 Qxe5 Bb2 Qxe2+ Bxe2 Be5 g4 Nf4 O-O Nxe2+,C41,Philidor Defense #2,4
cbXiaZaO,True,1495150000000.0,1495150000000.0,164,mate,black,10+0,chessfrois,2239,willyjohnson,2241,e4 c5 Nf3 d6 d4 cxd4 Nxd4 Nf6 Nc3 g6 Be3 Bg7 f3 Nc6 Qd2 O-O O-O-O d5 exd5 Nxd5 Nxc6 bxc6 Bd4 e5 Bc5 Re8 Ne4 Qc7 Bc4 Be6 h4 Rad8 Qf2 Ra8 h5 Nf4 Bxe6 Nxe6 hxg6 fxg6 Qh4 h5 Bd6 Qf7 g4 Qxf3 gxh5 Qf4+ Qxf4 Nxf4 hxg6 Nxg6 Rhg1 Re6 Rg4 Bh6+ Kb1 Bf4 Nc5 Rf6 Be7 Kf7 Bxf6 Kxf6 Rdg1 Ne7 c3 Rd8 R4g2 Rd5 Ne4+ Kf5 Ng3+ Ke6 Re1 Ng6 Ne4 Nh4 Rf2 Kf5 Kc2 Kg4 Rg1+ Kf5 Ng3+ Ke6 Nh5 Be3 Rgf1 Bxf2 Rxf2 Nf5 Re2 Kd6 Kb3 Rb5+ Kc2 Rb8 Rf2 Ne3+ Kd3 Nd5 Ng3 Rg8 Ne4+ Ke6 Nc5+ Kd6 Kc2 Kxc5 Re2 Re8 Re4 Nf6 Re2 e4 Re3 Ng4 Rg3 e3 Rxg4 e2 b4+ Kb6 Rg1 e1=Q Rxe1 Rxe1 Kb3 Re8 a4 c5 Kc4 cxb4 cxb4 a5 b5 Re4+ Kb3 Rb4+ Ka3 Kc5 Ka2 Rxa4+ Kb3 Rb4+ Ka3 Kxb5 Ka2 a4 Ka3 Rb3+ Ka2 Kb4 Ka1 a3 Ka2 Rb2+ Ka1 Rh2 Kb1 Kb3 Ka1 Rh1#,B76,Sicilian Defense: Dragon Variation |  Yugoslav Attack |  Modern Line,17
